,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,marzuq,14.4,46.47,69.13,35,62,6.64,YE,1609565601
1,bandarbeyla,9.49,50.81,76.24,64,48,19.55,SO,1609565601
2,gillette,44.29,-105.5,28.4,54,1,18.34,US,1609565602
3,punta arenas,-53.15,-70.92,53.6,58,0,26.4,CL,1609565362
4,port alfred,-33.59,26.89,68.0,70,45,1.99,ZA,1609565602
5,kulhudhuffushi,6.62,73.07,82.27,75,97,11.52,MV,1609565602
6,vardo,70.37,31.11,29.34,95,96,9.44,NO,1609565602
7,mataura,-46.19,168.86,57.0,87,100,5.99,NZ,1609565602
8,ponta do sol,32.67,-17.1,59.0,62,40,6.93,PT,1609565602
9,soe,-9.86,124.28,78.57,78,74,5.28,ID,1609565602
10,chuy,-33.7,-53.46,60.06,82,44,3.94,UY,1609565602
11,port-cartier,50.03,-66.87,14.0,72,45,3.36,CA,1609565602
12,sept-iles,50.2,-66.38,14.0,72,25,3.36,CA,1609565603
13,saskylakh,71.92,114.08,-11.27,89,100,12.26,RU,1609565603
14,bluff,-46.6,168.33,57.0,87,98,5.99,NZ,1609565603
15,the valley,18.22,-63.06,77.0,65,75,13.87,AI,1609565603
16,ushuaia,-54.8,-68.3,62.6,33,20,13.87,AR,1609565484
17,hasaki,35.73,140.83,52.0,42,20,4.7,JP,1609565603
18,saint george,37.1,-113.58,36.0,55,1,5.82,US,1609565603
19,butaritari,3.07,172.79,81.0,79,42,16.26,KI,1609565603
20,yar-sale,66.83,70.83,-27.22,83,9,9.1,RU,1609565603
21,jamestown,42.1,-79.24,35.01,100,90,16.11,US,1609565603
22,hermanus,-34.42,19.23,66.99,67,0,11.99,ZA,1609565603
23,busselton,-33.65,115.33,81.0,43,15,10.0,AU,1609565604
24,bambous virieux,-20.34,57.76,82.4,65,40,11.41,MU,1609565604
25,ostrovnoy,68.05,39.51,17.02,94,100,10.85,RU,1609565604
26,olden,61.84,6.81,32.0,88,75,16.11,NO,1609565604
27,los llanos de aridane,28.66,-17.92,60.8,72,75,8.05,ES,1609565604
